,X,Y,T
0,0.28425602827922936,0.8965112773526588,1.0
1,0.6112840251284205,0.9638773436840511,1.0
2,0.1822383647718805,0.47046440999380446,1.0
3,0.5702813508279863,0.745293552834936,1.0
4,0.5305467967502216,0.21746437301646537,0.0
5,0.2601303490335396,0.9923239933244392,1.0
6,0.32642973674059217,0.8288100726176838,1.0
7,0.6379930455686968,0.5600738034696332,0.0
8,0.2808517567833769,0.1120747032489634,1.0
9,0.7887391094202496,0.16494361108480016,0.0
10,0.5311869921293507,0.6467050613432902,1.0
11,0.01138569562389724,0.7362754554685981,1.0
12,0.3418712991434003,0.9704394218221598,1.0
13,0.10167208195384769,0.09316814044353794,1.0
14,0.702382887027761,0.9658886991356931,1.0
15,0.7489549147414347,0.87163356851439,0.0
16,0.05660235157120008,0.4226990875562583,1.0
17,0.5493136123035897,0.02831007465230584,0.0
18,0.7698957562520584,0.010623267694326644,0.0
19,0.570278551099424,0.23483612174671298,0.0
20,0.10430780354869573,0.9177592096792193,1.0
21,0.8556153073347702,0.8248883646633525,0.0
22,0.11636370665433049,0.27506218078178013,1.0
23,0.36440329372833513,0.21569623213358646,0.0
24,0.9258349970279333,0.04344449343246892,0.0
25,0.44930995810357666,0.9683517960077493,1.0
26,0.616164907266477,0.6005645170900391,0.0
27,0.01590195711321385,0.5370815612173312,1.0
28,0.3444580670975129,0.5947700791714385,1.0
29,0.38018466456980826,0.9694731820305553,1.0
30,0.1802721427138092,0.2261478355009371,1.0
31,0.1723544442434526,0.7108234981917776,1.0
32,0.3114020267409372,0.7044859422675461,1.0
33,0.9415840929051505,0.8552124284824995,0.0
34,0.07219333457195021,0.3737380917553299,1.0
35,0.08670520705542017,0.182371668058946,1.0
36,0.4314806955533519,0.8016678499716784,1.0
37,0.4587940312974895,0.8742234278162542,1.0
38,0.13810212142431844,0.750438594255953,1.0
39,0.6546644491408162,0.06342794576765864,0.0
40,0.7688145874615235,0.6311891190076349,0.0
41,0.8801535875746268,0.21562851560376872,0.0
42,0.5905436703811966,0.894781106498293,1.0
43,0.22933642966808954,0.2781777755929592,1.0
44,0.9279607897096007,0.16556656920106916,0.0
45,0.8665535487572175,0.32650727649384514,0.0
46,0.6463276384892901,0.5824543268326613,0.0
47,0.38395136990474144,0.6589394444781873,1.0
48,0.12233085984591763,0.4596498373559519,1.0
49,0.1339857060630919,0.6410086632228398,1.0
50,0.12678864101645926,0.05432689867743956,1.0
51,0.5270228674035597,0.4485419968792612,0.0
52,0.2745543244633337,0.5724879777656245,1.0
53,0.635360651719045,0.03510567717417856,0.0
54,0.9614431708674783,0.7375834777901615,0.0
55,0.6329058559818157,0.8645237539521023,1.0
56,0.8001782577562373,0.19231037084389369,0.0
57,0.7979222316665029,0.4642080076784221,0.0
58,0.741817928045971,0.8706128618971266,0.0
59,0.8131650737102509,0.34792027640077594,0.0
60,0.7469370420603499,0.2800163611702917,0.0
61,0.4630151300445571,0.736751318187422,1.0
62,0.02013555841613368,0.851669425773333,1.0
63,0.7335865140938564,0.24169671503581536,0.0
64,0.4716836542119026,0.985935070369374,1.0
65,0.40330125433986086,0.8569308707310993,1.0
66,0.6044644649615568,0.6500662394198972,0.0
67,0.6983740914374065,0.4096736546830845,0.0
68,0.5253649621902781,0.6784284666434993,1.0
69,0.8038582209184942,0.09995936636905933,0.0
70,0.8463276224901339,0.8086135160048645,0.0
71,0.4706746076067235,0.27075286136484766,0.0
72,0.6970255814689256,0.23572825704958533,0.0
73,0.9880888824215449,0.7909081770220782,0.0
74,0.34886708689113766,0.4616147586942947,1.0
75,0.27820408960776266,0.8889200186971609,1.0
76,0.9764644861177794,0.06959752821896303,0.0
77,0.6987265973836719,0.9981516063178597,1.0
78,0.5279926389927442,0.6956929145904328,1.0
79,0.5045038238405766,0.7788177279297472,1.0
80,0.3951983629641299,0.6322390450320113,1.0
81,0.7896464249751597,0.0014708938745547906,0.0
82,0.2682322646576143,0.7879730668509549,1.0
83,0.04893806048129756,0.6141856849154395,1.0
84,0.3974249647147534,0.1042107587161879,0.0
85,0.21372216419918122,0.7024592001017931,1.0
86,0.7652257783706206,0.8629087309257678,0.0
87,0.37050391008209727,0.5855931908854265,1.0
88,0.05325813920252498,0.6246262406860243,1.0
89,0.892352152514092,0.3563422249220507,0.0
90,0.44121547034826136,0.26195744293470047,0.0
91,0.48654265807289643,0.9735826545396158,1.0
92,0.5876021526081447,0.08393655956652635,0.0
93,0.06122789349243807,0.6107257694488156,1.0
94,0.868294017223943,0.09042695612794649,0.0
95,0.38038971585335246,0.0570018345831772,0.0
96,0.7351488122699026,0.47545487315080903,0.0
97,0.7415709531731524,0.37158100530505345,0.0
98,0.4016463320790318,0.11953255918328709,0.0
99,0.1538256222073856,0.14513088208298064,1.0
100,0.8208191394163155,0.9803083737952495,0.0
101,0.45756860413335043,0.5044366602122493,1.0
102,0.16082601588437961,0.4072357990904947,1.0
103,0.5822052090134164,0.21872145518638564,0.0
104,0.8578156729282855,0.12032370475886356,0.0
105,0.22178381051069362,0.21672478594804212,1.0
106,0.6338317040485859,0.50858642168442,0.0
107,0.2417537591029405,0.4712343500943903,1.0
108,0.7070473166693804,0.026242181105080475,0.0
109,0.885410573083241,0.8578169870726355,0.0
110,0.5150682708778288,0.8552278756399155,1.0
111,0.5836570696539318,0.8353443668758732,1.0
112,0.27608008329408595,0.5990158338153269,1.0
113,0.6116453109928807,0.5585164179835509,0.0
114,0.5934556396486719,0.14973655643718586,0.0
115,0.006255669195687985,0.4111136985107916,1.0
